,species,betweenness
78,GREGARINIDAE (SPOROZOITE),12623.073859557226
79,HERBIVOROUS CRUSTACEANS,12223.494498537686
80,COD,11867.404097183742
81,DIPTERA (IMMATURE),11675.349999999995
82,CHIRONOMIDAE,11445.254666436429
83,POMATOSCHISTUS MINUTUS,11122.2585625621
84,SOLEA VULGARIS,11122.2585625621
85,COMMON MUMMICHOG,10856.190293385065
86,SPONGES,10737.285958336985
87,GASTROPODS,10285.20331090442
88,OLIGOCHAETA TYPE II,10238.436224219422
89,DIACYCLOPS ACANTHOCYCLOPS,10107.381845200644
90,MACROBENTHOS,10001.771927325672
91,FLOUNDER,9779.499034420733
92,LITTORINA LITTOREA,9682.460822510822
93,POLINICES,9174.111367521366
94,LARGE PELAGICS,9092.412573075413
95,MACROZOOPLANKTON,8988.70468292539
96,EUPHAUSIIDS,8919.240741081585
97,FUNDULUS - FISH FRY,8907.628897588795
98,LETHOCERUS AMERICANUS (LARVAE),8900.05667407278
99,THAIS,8897.166666666666
100,TREMATOMUS BORCHGREVINKI - PLEUROGRAMMA ANTARCTICA,8896.999999999995
101,HELISOMA SP.,8887.399057648176
102,MYTILUS GALLOPROVINCIALIS,8830.662063492062
103,JACK MACKEREL,8651.360383126841
104,ASELLUS (ISOPOD) AND OTHER DETRITIVORES,8565.499999999995
105,PHYSA SP.,8494.683181514429
106,SPINY DOGFISH,8356.824881507942
107,ERPOBDELLA SP.,8276.023717836279
108,DINOFLAGELLATES,8231.170221915207
109,BENTHOPELAGIC CEPHALOPODS,8182.744938331957
110,DUCKS,8111.968283918485
111,DEER MOUSE,8097.418290441838
112,BENTHIC INVERTEBRATES,7960.812540208954
113,LARGER ZOOPLANKTON,7946.282917038156
114,CYCLOPOIDA,7930.457600343102
115,NEMATOCERA IMAGINES,7920.009944546863
116,OTHER COPEPODS,7915.722318885767
117,CARNIVOROUS CRUSTACEANS,7807.906258795388
118,CABEZON,7674.664758964548
119,RABBIT,7637.113944288105
120,FLYING FISHES,7468.838484186637
121,STARFISH,7453.6153263530505
122,SMALL PELAGICS,7353.771438386498
123,ASELLUS,7346.260964943511
124,CULEX,7169.46797807157
125,ARDEA HERODIAS,7081.540076196735
126,SNAILS,7044.818441266437
127,BUTEO JAMAICENSIS,7009.922794252418
128,HEXARTHRA,6961.696677181939
129,HERBIVOROUS FISH,6674.059498230669
130,FISH CARNIVORES,6669.999999999996
131,NORTHERN ANCHOVY,6611.0924989721525
132,GARTER SNAKE,6601.999999999996
133,INVERTEBRATES,6471.10476190476
134,RANA DRAYTONII (LARVAE),6446.185426252833
135,MOSTLY CLADOCERANS (DAPHNIDS),6388.2728607561485
136,BENTHIC HERBIVORES,6388.240483853942
137,SHRIMP,6277.189174292207
138,HERRING,6056.664418072701
139,MOSQUITO LARVAE,5704.000000000001
140,PSEUDACRIS REGILLA (LARVAE),5646.9975013848725
141,DAPHNIA - BOSMINA - POLYARTHRA - CONOCHILUS - EUDIAPTOMUS - SYNCHAETA,5643.6339225020165
142,SERGIA LUCENS,5638.141186366015
143,SALPS,5523.143543046135
144,PLANKTIVOROUS FISHES,5519.425677746987
145,CRABS,5502.960928615493
146,HERBIVOROUS INSECTS,5428.7133405451095
147,CLEVELANDIA,5424.499999999997
148,BALANUS GLANDULA,5331.785714285716
149,MICROZOOPLANKTON,5221.270888819464
150,ALARIA SP. (METACERCARIAE OR MESOCERCARIAE),5211.663379252861
151,SIDA - EURYCERCUS - BOSMINA - DIAPHANOSOMA - ROTATORIA,5203.572978195506
152,CHIRONOMIDAE (PUPAE),5199.755821876648
153,CRAYFISH,5196.675610978471
154,COSTACHOREMA XANTHOPTERA,5156.599473282918
155,CALANUS PACIFICUS,5117.897797629253
156,MACKEREL,5080.339340981613
157,CHAOBORUS,4976.217085483611
158,GAMMARIDS,4881.806587329559
159,ANAXYRUS BOREAS (LARVAE),4833.664168051519
160,BENTHONIC INVERTEBRATES,4802.228476832297
161,PSILACHOREMA BIDENS,4790.537320168987
162,AGROBACTERIUM RHIZOGENES (S. ROSA),4783.325972761193
163,BACILLUS/SOIL BACTERIUM,4783.325972761193
164,CHROMOBACTERIUM,4783.325972761193
165,CHROMOBACTERIUM VIOLACEUM,4783.325972761193
166,CHRYSEOBACTERIUM,4783.325972761193
167,CYTOPHAGALES,4783.325972761193
168,EUKARYOTE- YEAST,4783.325972761193
169,FLECTOBACILLUS,4783.325972761193
170,KLEBSIELLA (K. PNEUMONIAE),4783.325972761193
171,MICROBACTERIUM,4783.325972761193
172,PSEUDOMONAS,4783.325972761193
173,RHODOFERAX ,4783.325972761193
174,SPHINGOMONAS,4783.325972761193
175,UNKNOWN BACTERIUM,4783.325972761193
176,DOTTEREL,4779.0
177,CLADOCERANS,4771.162127978926
178,ORTHOPTERA,4718.328449947196
179,CALLIBAETIS SP. (LARVAE),4608.852973456252
180,BACTERIA - FUNGI,4583.986101820887
181,AUSTROVENUS,4575.111859108606
182,COMMERCIAL SPARIDS (2),4537.499460019113
183,PROTOZOA,4517.115952981099
184,HYDROBIOSIS PARUMBRIPENNIS,4498.7974362717905
185,HETEROTROPHIC BACTERIA,4459.999999999998
186,SCARABS,4456.999999999998
187,COYOTE - WEASEL - SKUNK,4446.999999999997
188,DAPHNIA,4443.135293755465
189,CHYDORUS,4439.226431332273
190,LITTORAL BROWSERS,4337.660909420694
191,SCROBICULARIA PLANA,4305.720489608431
192,TRAMEA SP. (ADULT),4262.774672061009
193,ALEWIFE,4242.909560951322
194,MACROPHTHALMUS,4161.316277365058
195,DIPTERANS,4156.081644396683
196,MEDIUM-SIZED ROTIFERS (HERBIVORE),4139.906194089483
197,ROEBOIDES SPP,4071.575683690578
198,SAND LANCE,4030.899590945085
199,LARGE ROTIFERS (CARNIVORE),3993.606194089482
200,PERINEREIS,3928.457417575269
201,RED HAKE,3855.012040849432
202,VARIOUS IMMATURE FISHES,3844.0
203,ACARTIA TONSA - HARPACTICOIDS,3824.0
204,CHIRONOMID LARVAE - CLADOCERANS - ROTIFERS,3805.0
205,SILVER HAKE,3774.223465938619
206,BENTHOS-FEEDING FISHES,3707.9894603370617
207,OLIGO SMOOTH,3693.3183068052795
208,ASTYANAX ALTIPARANAE,3679.3470271807105
209,COLEOPTERA ADULT,3674.2644414093825
210,BAETIS,3528.779119990757
211,DIPHYLLOBOTHRIUM DENDRITICUM ,3523.143285689092
212,GAMMARUS MINUS,3500.85238095235
213,WHITE HAKE,3494.307547408137
214,EUPHAUSIA SIMILIS - E. PACIFICA,3473.848485347848
215,DIPHYLLOBOTHRIUM DITREMUM ,3443.268285689092
216,STENOPERLA PRASINIA,3429.2557120730958
217,PROTEOCEPHALUS SP. ,3403.70618416385
218,EUBOTHRIUM CRASSUM ,3394.723047593854
219,FISH (UNSPECIFIED),3360.7172842582386
220,HYALELLA SP.,3352.8585696635173
221,LUMBRINEREIS - NOTOMASTUS,3338.5
222,TERNS - SHOREBIRDS,3331.999999999998
223,STINGRAY,3326.499999999998
224,EPHYDRIDAE (LARVAE),3322.804590846173
225,DECAPODS,3304.607609470198
226,CLADOCERA,3297.6666666666642
227,PROCLADIUS,3290.662941717808
228,MARITREMA NOVAE,3288.526899852599
229,ECHINOSTOMA SP. (METACERCARIAE OR MESOCERCARIAE),3252.5843988695283
230,ECHINOSTOMA TRIVOLVIS (METACERCARIAE OR MESOCERCARIAE),3252.5843988695283
231,SPOTTED HAKE,3245.469825344402
232,BATRACHOCHYTRIUM DENDROBATIDIS (SPORANGIA),3239.5040781133903
233,NYCTOTHERUS SP. (TROPHOZOITE),3239.5040781133903
234,OPALINA SP. (TROPHOZOITE),3239.5040781133903
235,RIBEIROIA ONDATRAE (METACERCARIAE OR MESOCERCARIAE),3239.5040781133903
236,HADDOCK,3238.84335474141
237,BUTTERFISH,3185.231890049278
238,NEREIS - GLYCERA,3175.999999999998
239,HESPEROCORIXA SP. (ADULT),3072.7259537336727
240,ZOOBENTHOS,3063.7486196038108
241,ENGRAULIS JAPONICA (POST-LARVA),3050.179406816985
242,MACOMONA,3025.3514037695745
243,DAPHNIA PULEX - TENDIPES - AMPHIPODS - OSTRACODS - CORIXIDS,3020.136886775207
244,THYSANOPTERA,3007.322222222223
245,MACROCYCLOPS SP.,2972.1706940159534
246,MOLE,2969.333333333332
247,MARTHASTERIAS,2967.9999999999986
248,BACTERIOPLANKTON,2954.5577209492008
249,EEL,2918.3333333333335
250,CALANOID COPEPODS,2868.0
251,MELANIRIS CHAGRESI,2868.0
252,FULICA AMERICANA,2806.8830412531183
253,SMALL ROTIFERS (BACTERIVORE - HERBIVORE),2736.9666666666644
254,NEPTHYS,2693.890340664682
255,GOBY,2689.46973286654
256,LARGE ROTIFERS (OMNIVORE),2658.439527422817
257,EMERITA ANALOGA,2654.8903406646828
258,MEGALODISCUS SP. (ADULT),2626.8859802659035
259,CARNIVOROUS FISHES,2595.619016421644
260,LYMNAEA,2583.785318034656
261,ANOLIS GINGIVINUS,2552.320042664126
262,BOSMINA LONGIROSTRIS,2521.3939535557574
263,HOLOPEDIUM GIBBERUM,2456.34147188038
264,NEMERTINI,2445.2191339256037
265,ENALLAGMA,2424.521350089934
266,BELOSTOMA SP. (LARVAE),2405.082700078104
267,PENTANEURA,2396.827113684401
268,MISCELANEOUS,2374.881713179833
269,OTHER DECAPODS,2362.151668504762
270,LEPADELLA,2359.9339239607966
271,BOTTOM-FEEDING FISHES,2346.077320057688
272,HYDROPSYCHE,2344.8416666666626
273,BOSMINA - CHYDORUS - TROPOCYCLOPS,2330.668884362593
274,AEDES,2318.486293760001
275,EUPHASIIDS,2304.7431105690453
276,CTENOPHORES,2303.9473111624466
277,MYSIS,2300.851910698651
278,CLAMS,2295.960527508922
279,TROPISTERNUS SP. (LARVAE),2295.0173791337625
280,HESPEROCORIXA SP. (LARVAE),2291.284562566756
281,INSECTS - DISYONICHA QUINQUEVITATA - COLLEMBOLA,2282.2238433625234
282,CRANGON SP.,2279.155365299192
283,PSECTROCLADIUS LARVAE,2265.7283197336897
284,TENEBRIONIDAE - ORTHOPTERA - CURCULIONIDAE,2236.499999999999
285,BENTHIC MACROFAUNA,2230.3333333333326
286,RUFFED GROUSE,2228.0331868712187
287,PARACENTROTUS,2227.4999999999995
288,EUPHASIA SUPERBA - E. CRYSTALLOROPHIAS,2227.1666666666656
289,COPEPODS - ORCHOMONOPSIS,2226.9999999999986
290,EMERGENT HERBIVOROUS INSECTS,2226.499999999999
291,DUNG FLY,2225.999999999999
292,ENTOMOSTRACA - ROTIFERA (FRESH WATER PLANKTON),2225.999999999999
293,GERBILLUS,2225.999999999999
294,SEA TURTLES,2225.9999999999986
295,MITES - LANDFLIES - ADULT CHIRONOMIDS - SPRINGTAILS,2224.999999999999
296,CHAETOGNATHS - POLYCHAETES,2223.9999999999986
297,INSECTS IN HERB AND SURFACE STRATUM - DIPTERA - HEMIPTERA - GRASSHOPPERS - ETC.,2223.9999999999986
298,OTHER CARNIVORES,2223.9999999999986
299,SCOMBER JAPONICUS (ADULT),2223.999999999998
300,TILAPIA NILOTICA - ADULT,2220.9999999999986
301,TODARODES PACIFICUS - OTHER CEPHALOPODS,2220.999999999998
302,SIDA - EURYCERCUS,2217.9999999999986
303,EPIPHYTIC ALGAE,2215.5000000000027
304,MEIBENTHOS,2214.5110506849437
305,ORCHESTIA - PHILOSCIA - ANURIDA - CYLISTICUS,2212.333333333333
306,MYSIDS,2210.9829579807874
307,SMOOTH DOGFISH,2197.6312525114504
308,MUGIL,2177.666666666667
309,PANDALIDS,2165.993376741223
310,HYPERIIDS,2157.8501448763386
311,AMPITHOE VALIDA,2146.9999999999995
312,CERATOPOGONIDAE (LARVAE),2125.3993166901
313,CYPRINODONTIDS,2106.613876472826
314,PARAPHOLAS CALIFORNICA,2106.602336768688
315,URCHINS,2097.689538593119
316,SAPROLEGNIA,2089.211254317722
317,CAPRELLIDS,2078.582439560819
318,EUKIEFFERIELLA,2054.085194269114
319,CRYSTAL KRILL,2050.876080971493
320,DEPOSIT FEEDERS,2044.4555327511077
321,CHIRONOMID,2041.5268991883083
322,PLECOPTERANS - ODONATES - HEMIPTERANS,2038.1368226601003
323,PINFISH,2004.6913224128057
324,LASAEA CISTULA,1986.285714285716
325,BENTHIC CEPHALOPODS,1983.2225215283886
326,BENTHIC INFAUNA,1972.275219168438
327,UTRICULARIA,1961.7183751868254
328,SALMO (BROWN TROUT),1942.0
329,AGABUS,1937.694364621344
330,STRONGYLOCENTROTUS PURPURATUS,1930.0535326413608
331,GOBIUS NIGER,1929.0
332,GASTROPODA,1922.4933634260256
333,ANISOPTERID LARVAE,1920.0
334,GAMMARACANTHUS,1916.0
335,SYLLIS SPENCERI,1914.6
336,BENTHIC FILTER FEEDING INVERTEBRATES,1914.0
337,BLUEFISH,1913.515607248092
338,ERRANT POLYCHAETES,1913.1666666666667
339,PARATHEMISTO SPP. (AMPHIPODS),1913.0
340,EPONTIC COPEPODS,1912.0
341,SMALL FISHES AND INVERTEBRATES,1912.0
342,TOOTH-FISH,1912.0
343,SMALLER ZOOPLANKTON,1910.0
344,AQUATIC INSECTS,1909.088888888889
345,C. KINCAIDI,1902.991932456692
346,SALVELINUS ALPINUS,1890.292621207045
347,TANYTORSUS,1887.5
348,NEMATODE B,1885.0
349,LARGE ZOO,1876.857041889432
350,SMALL ZOO,1876.857041889432
351,MYTILUS EDULIS,1876.3890791218466
352,HEDISTE DIVERSICOLOR,1864.900668025498
353,APOROSAURA,1858.3333333333326
354,LEAFHOPPERS,1855.9999999999989
355,APHIDS,1853.4999999999989
356,ARRENURUS SP. ,1820.6191147453349
357,HETEROCOPE APPENDICULATA,1811.0378122382308
358,OMNIVORES,1805.2999999999997
359,COENAGRION SP. (ADULT),1798.1704808585703
360,LESTES SP. (ADULT),1797.4204808585703
361,VOLES - MICE,1790.4428571428582
362,ANAX JUNIUS (ADULT),1789.6668273722416
363,BENTHIC EPIFAUNA,1789.1555534952379
364,NAIS SP.,1784.521043102866
365,SIMULIUM SP.,1773.246753246723
366,GLYCERA TRIDACTYLA,1762.6443857851957
367,PRAWNS AND SHRIMPS,1744.000000000019
368,CYZICUS CALIFORNICUS,1736.9680464602004
369,INSECT LARVAE,1724.5527901938433
370,GOOSEFISH,1720.3949324363646
371,MYTILUS CALIFORNIANUS,1715.77727215087
372,GELATINOUS ZOOPLANKTON,1697.9645039262748
373,OSMERUS,1693.415274690769
374,GASTROPODS - PELECYPODS,1692.273773550414
375,CEPHALOPODS,1671.8326139198073
376,EUDIAPTOMUS GRACILOIDES,1668.5613043371848
377,GASTEROSTEUS ACULEATUS,1665.5554836850245
378,SEA URCHINS,1662.3713962116838
379,DEMERSAL FISHES,1657.0838023191022
380,CYCLOPS SCUTIFER,1646.2229357069043
381,MYTILUS,1629.9540571593
382,POLLOCK,1626.7971154167828
383,SHORE CRABS,1610.9302615105184
384,HYDROPHILUS,1608.4291088484947
385,COPEPODITES,1592.8368566788704
386,"CLAMS, MUSSELS",1592.077845823805
387,TUBIFICIDS (UNSPEC.),1591.0960431028689
388,MESOZOOPLANKTON,1584.0376416810584
389,MICRASEMA,1583.2107142857399
390,GAMMARUS,1576.028916949331
391,TILAPIA ZILLI,1544.3895930300496
392,OTHER PELAGICS,1538.9970861723657
393,MYSIDACEA,1536.7525840752528
394,ACANTHOCYCLOPS GIGAS,1530.4201648824048
395,TARICHA TOROSA (LARVAE),1513.9955852238402
396,BENTHIC CRUSTACEA,1510.7880383038153
397,SCAPHOLEBERIS,1508.5551573878881
398,SHEEPSHEAD MINNOW,1499.5093929960958
399,INDIGO BUNTING,1488.5
400,WINTER FLOUNDER,1478.788749363262
401,OSTRACODS (UNSPEC.),1474.4380952380852
402,CRUSTACEANS,1471.0018099547501
403,PANPHYTOPHAGOUS TESTATE AMOEBE,1469.2023809523662
404,CERASTODERMA EDULE,1468.6204896084307
405,MIDDLEBENTHOS,1450.6418541536
406,MICROCRUSTACEANS,1447.7390603129527
407,ROTATORIA - CALANOIDA - CLADOCERA,1442.6756777469914
408,COPEPODA,1431.3039215686274
409,ACORN BARNACLES,1429.1106054842096
410,HERB - CHIRONOMIDS,1428.8505302967756
411,FISH HERBIVORES,1426.6666666666542
412,ZELANDOPERLA/ACROPERLA SP. ,1411.9995515676571
413,ARCHICAULIOIDES DIVERSUS,1408.5918090190744
414,MULLETS,1406.3835826639038
415,CHAETOGNATHA (ARROW WORMS),1403.4393865524191
416,SUPRABENTHOS,1396.043990247968
417,FROGS,1391.288095428312
418,MOJARRAS,1389.9077199742435
419,POLYPEDILUM,1389.0546972484997
420,EUBRANCHIPUS,1383.2596337002094
421,CORYNONEURA,1362.4385642135642
422,MOENKHAUSIA SPP,1358.3948662952018
423,OTHER CHIRONOMIDS,1348.7898692810381
424,BAETIS RHODANI,1347.0065359477048
425,CALANUS SP.,1345.2973915939947
426,EPHEMERELLA NOTATA,1344.2232026143713
427,TROPISTERNUS SP. (ADULT),1341.5433931010054
428,DEMERSAL PISCIVORES,1338.2642619695987
429,ERICHSONELLA,1329.0228236683429
430,ENTOSIPHON,1326.6803776682918
431,SIMOCEPHALUS SP.,1308.1111627194741
432,SARDINA PILCHARDUS,1298.7205882352935
433,ENGRAULIS ENCRASICOLUS,1296.8186274509799
434,CLUPEIDAE,1296.3186274509799
435,OTHER INSECTIVORES,1291.3164881981666
436,NEREIDS,1266.1295612393433
437,AMERICAN PLAICE,1249.076252376972
438,ISOPODA,1247.5592172118006
439,CORYNONEURA SCUTELLATA WINNERTZ,1243.7037815126
440,OTHER CHIRONOMIDAE,1243.7037815126
441,TANYTARSUS BRUCHONIUS REISS & FITTKAU,1243.7037815126
442,BALANUS,1237.146782799469
443,BELOSTOMA SP. (ADULT),1229.297654224846
444,KERATELLA,1212.3026199761737
445,ALONELLA,1201.1621937937632
446,PROCHILODUS LINEATUS,1187.4604965649414
447,T. PARAGUAYENSIS,1182.5027493570333
448,PIMELODELLA SPP,1169.3728996690686
449,CYATHURA CARINATA,1166.450396825397
450,AOTEAPSYCHE SPP.,1157.903358822655
451,YELLOWTAIL FLOUNDER,1152.497790888265
452,ASELLUS BREVICAUDUS,1150.0550865801024
453,DEPOSIT-FEEDING GASTROPODS,1149.2774963444178
454,SIPHONOPHORES,1147.7319190646926
455,SUMMER FLOUNDER,1142.3123216672302
456,URECHIS,1141.1757733410689
457,OTHER HERBIVORES,1140.1164995296137
458,PIMELODUS SPP,1135.9495759300162
459,ILLEX,1125.1486847376095
460,WINDOWPANE FLOUNDER,1122.1150645948592
461,HELICOPSYCHE ALBESCENS,1122.026472693033
462,STRIPED BASS,1118.5445251032424
463,CHAETOGNATHS,1117.049700892995
464,THYSANURA - ISOPTERA - OTHER TENEBRIONIDAE,1116.4999999999995
465,STENELLA SPP.,1111.4999999999993
466,TARICHA TOROSA (ADULT),1110.6759854560937
467,OIKOPLEURA,1107.8322256539855
468,DYTISCUS,1105.787837119169
469,ABABESMYA KARELIA,1102.6119047619047
470,PREDATORY ZOOPLANKTON,1102.499999999999
471,TUNA,1099.2346209548905
472,TITMICE,1091.5571428571434
473,PARACOENIA TURBIDA LARVAE,1088.8835004703851
474,ROACH,1078.977777777778
475,CONCHOLEPAS CONCHOLEPAS,1077.4972839367192
476,SPOTTY,1073.5654012653931
477,LYNCEUS,1071.3384724220323
478,STYELA MONTEREYENSIS,1068.6481403154246
479,SMALL MIDWATER PLANKTON FEEDERS,1066.6999999999998
480,SCALLOPS,1064.4287976217895
481,SMALL OLIGOCHAETES (PRINCIPALLY ENCHYTRAEIDAE),1063.9851540616241
482,HERMIT CRABS,1063.707648033743
483,COROPHIUM - HYDROBIA - LITTORINA,1056.880665786444
484,CHIRONOMUS DORSALIS MEIGEN,1053.3640379228386
485,GLYPTOTENDIPES PALLENS (MEIGEN),1052.5037815125822
486,SMALL DEMERSALS,1047.3007688132577
487,INFAUNA,1042.7945830985825
488,T. ARGENTEUS,1032.5821703912768
489,WEASELS,1028.580952380953
490,GASTROSACCUS - CALLIANASSA - DONAX,1026.1896007955186
491,STENOPHYLAX STELLATUS,1017.7567573885905
492,ARACHNIDS,1017.0
493,BRACON SP.8,1011.8666666666668
494,BENTHIC BACTERIA,1003.8859240245876
495,TRIPORTHEUS SPP,1001.7735193225432
496,HORISMENUS SP.E,988.6333333333332
497,WITCH FLOUNDER,983.9969245134961
498,PALAEMONETES,983.8333333333334
499,SNAKES - TURTLES,973.4
500,HABROPHLEBOIDES - PROSIMULIUM,971.0
501,OSMERUS EPERLANUS MORDAX,969.0
502,NAONELLA,967.6360682608314
503,ASTYANAX SP,967.1833628017316
504,NEARSHORE FISHES,966.0
505,ARCTIC COD,963.0
506,POMATOMUS - PORONATUS,962.5
507,NOTONECTA - STICTOTARSUS - MELADEMA - SYMPETRUM - GOMPHUS,962.0
508,PALAEMON ADSPERSUS,961.9
509,ACERINA CERNUA (POPE),961.0
510,LIMANDA HERZENSTEINI - L. YOKOHAMAE,960.6666666666666
511,MYOXOCEPHALUS,959.6666666666667
512,SMALLER COPEPODS (E.G. - PSEUDOCALANUS),958.8333333333334
513,FROGS - LIZARDS - BIRDS,958.0
514,G. BALZANII,957.756226497005
515,ACANTHOPLEURA GRANULATA,957.5
516,BOSMINIA,957.0
517,CANIS LATRANS,957.0
518,UCA AND SESARMA - MODIOLUS - LITTORINA - OLIGOCHAETE - STREBLOSPIO - CAPITELLA - MANAYUNKIA,957.0
519,CATFISH,956.9737916424154
520,LARGER COPEPODS (E.G. - CALANUS),956.8333333333334
521,CORALS,956.0
522,PHYTOPHAGOUS NEMATODES,956.0
523,PYCNOPSYCHE - TIPULA SP. 2,956.0
524,TUFTED DUCK AND CHICKS,956.0
525,GYMNOPHALLUS,955.5896818547765
526,CRANGON AFFINIS - METAPENAEOPSIS DALEI,955.3333333333334
527,DETRITUS FEEDERS,955.0
528,LESTES,954.4047051045444
529,DIAPHUS COERULEUS - D. ELUCENS - OTHER MYCTOPHIDS,954.0
530,GECKOS,951.0
531,CHARYBDIS ORIENTALIS,944.5
532,SIMULIUM REPTANS,944.2567573885907
533,LIMNOPHILUS SP.,943.9650907219241
534,MIRAX N. SP. 3,934.9952380952384
535,OTHER OMNIVORES,934.1216747170903
536,EMPEROR PENGUINS,934.0
537,ASECODES SP.A,929.5238095238095
538,LITTLE SKATE,913.4796183609333
539,PARACALANUS PARVUS,913.2537170228657
540,DERO SP.,913.1461794061827
541,TUBIFICIDAE,907.040655336075
542,NEOCHRYSOCHARIS ARIZONENSIS,895.6904761904761
543,MEROPLANKTON - APPENDICULARIANS - DOLIOLIDS,887.7542986295854
544,SMALL CALANOIDS,887.7542986295854
545,OLIGOCHAETES,885.7464285714302
546,ACARINA,884.8333333333331
547,WINTER SKATE,875.929158336187
548,VALVATA,875.1266834639612
549,CHYDORUS LATUS SARS,874.6931372549151
550,FOUR-SPOT FLOUNDER,873.2592624753948
551,ELACHERTUS SP.A,872.25
552,CURTUTERIA 1,871.4983347668588
553,CURTUTERIA 2,871.4983347668588
554,LARGE CLADOCERANS,869.6201429574521
555,LEUCTRA - BAETIS - EPHEMERELLA - SIMULIUM CHIRONOMIDS,857.24999999999
556,SCAPHALOBERIS MUCRONATA (MULLER),852.1990196078567
557,HOPLIAS MALABARICUS,849.5646160252884
558,JACKS,843.3398177824153
559,PHILORHEITHRUS AGILIS,840.2843406593406
560,THORNY SKATE,838.0906907827016
561,CUMACEANS,836.9896950227811
562,IMPARFINIS MIRINI,827.6309774416519
563,CAILIANASSA,824.8424400077305
564,OTHER FISH,818.4932262182268
565,TENDIPEDIDAE (UNSPECIFIED),816.2467532467628
566,OCTOPUS,813.0813226088726
567,HELOPHORUS,801.7032236830587
568,OTHER BENTHOS FEEDERS,798.4558916759536
569,COLEOPTERA LARVA,798.392550545138
570,GRASSHOPPER MOUSE,793.6666666666667
571,DEPOSIT-FEEDING POLYCHAETES,792.69984106924
572,SEMOTILUS ATROMACULATUS,792.6666666666747
573,DEPOSIT-FEEDING PERACARIDAN CRUSTACEANS,789.5692147346379
574,HALIBUT,789.5330260886343
575,SIMULIUM SPP.,787.4398692810566
576,CHRYSEMIS,782.625
577,ISOPTERA,778.7258838784713
578,DIPTERA LARVA,777.6147727673603
579,MOSQUITOFISH,774.5527901938308
580,GENUS NEAR ZAEUCOILA SP.2,774.2619047619048
581,MILLIPEDE,765.192245737611
582,LUMBRICULUS VARIEGATUS (MULLER),763.0482259570547
583,DEFOLIATING INVERTEBRATES - SMALL RODENTS,762.5858149068555
584,PAGURISTES ULREYI,761.2425685425688
585,ROSE SHRIMP,756.3437141592394
